,id,name,neighbourhood,suburb,state,postcode,latf,longf,tunnel,latL,longL,type,latM,longM,oneway,bridge,total_street_distance,nodes_number,number_of_segments,segment_distance,segment_nodes_number,places_cluster_number,places_cluster_lat,places_cluster_long,incidents_cluster_number,incidenst_cluster_latup,incidents_cluster_longup,icndienst_cluster_latdown,incidnets_cluster_longdown
52,259030896,Temperary_name,Industrial Area,6th of October,Giza Governorate,12581,29.934013099999998,30.90822,no,29.9352086,30.9109059,secondary_link,29.9343695,30.908973600000003,no,no,311.72882790687714,27,1,311.72882790687714,27,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
53,100386356,NoData,NoData,6th of October,Giza Governorate,-1,29.9434335,30.832794300000003,no,29.950315600000003,30.8340842,tertiary,29.947384999999997,30.833392699999997,yes,no,777.2501133250545,22,1,777.2501133250545,22,14,29.95850384,30.8466832,8,29.994341143478266,30.90159330869565,29.924341143478266,30.83159330869565
54,750354013,North's Extending,NoData,6th of October,Giza Governorate,12564,30.0022588,30.9498922,no,30.0009026,30.9399435,tertiary,30.0042257,30.9463637,yes,no,1148.3791200120374,23,2,782.7975825826636,21,22,29.991552075,30.945639291666666,9,30.074779335555554,30.99271797,30.004779335555554,30.92271797
55,100075129,NoData,103 Cooperatives,6th of October,Giza Governorate,12566,29.9330464,30.920519,no,29.9253468,30.9271417,tertiary,29.930101300000004,30.923031800000004,yes,no,1113.5347479777208,34,2,913.7827683555895,31,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
56,674830006,NoData,Al Zamalek Compound,6th of October,Giza Governorate,12566,29.925095000000002,30.927543300000004,no,29.9327828,30.9209433,tertiary,29.9286901,30.9243993,yes,no,1114.0371589406063,22,2,871.2380115117408,20,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
57,99625957,شارع النباتات,Block 7,6th of October,Giza Governorate,12568,29.991751,30.964682,no,29.9850608,30.9567395,tertiary,29.9878608,30.9589445,yes,no,1590.7325173009617,42,2,977.1993796613524,25,1,29.99744419285714,30.965151128571428,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
58,683965262,طريق الواحات الجانبي,NoData,6th of October,Giza Governorate,2500,29.9142107,30.936307199999998,no,29.9282183,30.942548699999996,tertiary,29.916356,30.937547499999997,yes,no,1754.8438533520155,15,2,986.0029954274016,10,33,29.919633899999997,30.936635535294123,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
59,100220532,NoData,NoData,6th of October,Giza Governorate,1066047247,29.9687206,30.878163899999997,no,29.9606874,30.8850729,tertiary,29.9637418,30.8824477,yes,no,1882.8124465634887,19,2,902.2637850099042,10,48,29.96021444545455,30.87910931818182,8,29.994341143478266,30.90159330869565,29.924341143478266,30.83159330869565
60,98601605,Street 32,Area 15,6th of October,Giza Governorate,1066047247,29.9552126,30.8899179,no,29.9637369,30.8827222,tertiary,29.959294500000002,30.886544399999995,yes,no,1882.9417681690848,16,2,874.3784783052743,10,48,29.96021444545455,30.87910931818182,8,29.994341143478266,30.90159330869565,29.924341143478266,30.83159330869565
61,696348400,المحور المركزي,Neighborhood 1,6th of October,Giza Governorate,-1,29.9512162,30.912337899999997,no,29.9568897,30.9208902,secondary,29.951915000000003,30.9132419,yes,no,1975.1035339078405,36,3,942.3376904785533,12,4,29.953842514285718,30.907902064285718,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
62,696348400,المحور المركزي,Neighborhood 1,6th of October,Giza Governorate,-1,29.9609234,30.928967,no,29.961055199999997,30.9292217,secondary,29.960959999999996,30.929028000000002,yes,no,1975.1035339078405,36,3,91.41772786711522,5,39,29.968890307142853,30.925479942857145,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
63,44719508,المحور المركزي,Central Residential Area,6th of October,Giza Governorate,1066047247,29.9563451,30.919817499999997,no,29.9515581,30.912435700000003,secondary,29.9538429,30.9159375,yes,no,1980.1230630733805,41,3,988.2109029869557,11,4,29.953842514285718,30.907902064285718,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
64,682732204,طريق الفيوم الجديد,Sakan Masr 6,6th of October,Giza Governorate,31,29.962533399999998,31.004348800000002,no,29.9690188,30.996351699999998,tertiary,29.965938800000004,31.0000424,yes,no,2002.5105472605806,22,3,958.1756991269627,8,55,29.972719118181814,30.99263530909091,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
65,682732204,طريق الفيوم الجديد,Sakan Masr 6,6th of October,Giza Governorate,31,29.9743832,30.989068800000002,no,29.974573200000002,30.9889267,tertiary,29.974573200000002,30.9889267,yes,no,2002.5105472605806,22,3,61.05412057860297,2,55,29.972719118181814,30.99263530909091,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
66,682732200,طريق الفيوم الجديد,NoData,6th of October,Giza Governorate,2500,29.968267200000003,30.996992699999996,no,29.962425500000002,31.004233000000003,tertiary,29.9671088,30.9983084,yes,no,2009.0364649498395,22,2,802.7694202409375,7,55,29.972719118181814,30.99263530909091,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
67,696629728,المحور المركزي 1,Central Residential Area,6th of October,Giza Governorate,1066047247,29.9350869,30.9107212,no,29.9320208,30.913320600000002,secondary,29.9320208,30.913320600000002,yes,no,2106.9199630847747,12,3,943.6018294493484,2,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
68,99563993,شارع عبد المنعم رياض,Tourist Village 5,6th of October,Giza Governorate,12568,30.002044,30.9721354,no,29.9946081,30.979175199999997,tertiary,30.001564600000002,30.973167999999998,yes,no,3364.2582200329016,84,4,814.4735365708102,14,1,29.99744419285714,30.965151128571428,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
69,99563993,شارع عبد المنعم رياض,Tourist Village 5,6th of October,Giza Governorate,12568,29.990338899999998,30.9848396,no,29.9828272,30.9836397,tertiary,29.9868414,30.9871262,yes,no,3364.2582200329016,84,4,964.8929040217654,29,50,29.980140144444448,30.98012143333333,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
70,100051562,شارع تبارك,Family Housing 33 Acres,6th of October,Giza Governorate,12566,29.9302632,30.930286900000002,no,29.938822700000003,30.9363909,tertiary,29.9321407,30.930978200000002,yes,no,2322.635103364833,52,3,986.1688632461688,20,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
71,100051562,شارع تبارك,Family Housing 33 Acres,6th of October,Giza Governorate,12566,29.945710499999997,30.940779,no,29.947937,30.942653200000002,tertiary,29.9465588,30.941438800000004,yes,no,2322.635103364833,52,3,345.7899567341988,8,46,29.948955142105266,30.94280275263158,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
72,99836709,المحور المركزي,Block 5,6th of October,Giza Governorate,12563,29.920477500000004,30.9235962,no,29.9258468,30.918940999999997,secondary,29.9236369,30.920857,yes,no,2520.891422947665,48,3,957.0487950175058,13,18,29.933942473684212,30.921166505263162,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
73,642043259,NoData,NoData,6th of October,Giza Governorate,31,29.972806300000002,31.005272499999997,no,29.9691919,31.0160673,primary,29.971302899999998,31.0088173,yes,no,2611.391701580288,50,3,962.3028215242327,19,23,29.97058913333333,31.01156521666667,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
74,642043259,NoData,NoData,6th of October,Giza Governorate,31,29.966456199999996,31.025400399999995,no,29.965424199999998,31.0308613,primary,29.965540700000002,31.028784,yes,no,2611.391701580288,50,3,661.2637353794466,20,10,29.96212932,31.03320874,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
75,76149575,NoData,NoData,6th of October,Giza Governorate,2500,29.9605757,31.050391499999996,no,29.962905300000003,31.042378399999997,tertiary,29.961795399999996,31.046211199999995,yes,no,2707.8575148185964,54,3,986.5267152984022,9,10,29.96212932,31.03320874,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
76,642043249,Al Wahat Road,Block 5,6th of October,Giza Governorate,2500,29.965668800000003,31.030785899999998,no,29.9692641,31.0198125,primary,29.9665955,31.028962300000003,yes,no,2767.366163910125,44,3,937.4614553124227,16,10,29.96212932,31.03320874,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
77,642043249,Al Wahat Road,Block 5,6th of October,Giza Governorate,2500,29.972272399999998,31.0092585,no,29.973780699999995,31.0036854,primary,29.973383000000002,31.005355100000003,yes,no,2767.366163910125,44,3,865.8873337664583,12,23,29.97058913333333,31.01156521666667,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
78,264932211,المحور المركزي,Neighborhood 1,6th of October,Giza Governorate,-1,29.967346999999997,30.9370167,no,29.9722446,30.944626899999996,secondary,29.9700549,30.941232199999998,yes,no,3254.390004138313,63,4,988.3630925070681,14,56,29.9741618,30.95051086666667,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
79,264932211,المحور المركزي,Neighborhood 1,6th of October,Giza Governorate,-1,29.9776157,30.9528489,no,29.978473699999995,30.9558858,secondary,29.9787762,30.954882899999998,yes,no,3254.390004138313,63,4,372.94519486398775,10,56,29.9741618,30.95051086666667,7,29.98610152566372,30.970154323008853,29.91610152566372,30.900154323008852
80,540096422,طريق الحى الأيطالى,Degla palms,6th of October,Giza Governorate,12587,29.9219457,31.0577109,no,29.924204200000002,31.0549119,tertiary,29.9219457,31.0577109,yes,no,3377.7527843075777,32,4,927.1186133178777,3,34,29.932308766666665,31.047609725,0,29.99523311182796,31.101903079569894,29.92523311182796,31.031903079569894
